name	label
tu_vi	tuVi
thien_co	thienCo
thai_duong	thaiDuong
vu_khuc	vuKhuc
thien_dong	thienDong
liem_trinh	liemTrinh
thien_phu	thienPhu
thai_am	thaiAm
tham_lang	thamLang
cu_mon	cuMon
thien_tuong	thienTuong
thien_luong	thienLuong
that_sat	thatSat
pha_quan	phaQuan
van_xuong	vanXuong
van_khuc	vanKhuc
ta_phu_huu_bat	taPhuHuuBat
thien_khoi_thien_viet	thienKhoiThienViet
tam_thai_bat_toa	tamThaiBatToa
loc_ma	locMa
hoa_tinh_linh_tinh	hoaTinhLinhTinh
kinh_duong_da_la	kinhDuongDaLa
dia_khong_dia_kiep	diaKhongDiaKiep
thien_khong	thienKhong
tuan_triet	tuanTriet
long_tri_phuong_cac	longTriPhuongCac
an_quang_thien_quy	anQuangThienQuy
thai_phu_phong_cao	thaiPhuPhongCao
thien_quan_thien_phuc	thienQuanThienPhuc
thien_tho_thien_tai	thienThoThienTai
thien_duc_nguyet_duc	thienDucNguyetDuc
thien_khoc_thien_hu	thienKhocThienHu
thien_hinh	thienHinh
thien_rieu	thienRieu
kiep_sat	kiepSat
co_than_qua_tu	coThanQuaTu
pha_toai	phaToai
luu_ha	luuHa
thien_tru	thienTru
quoc_an	quocAn
giai_than_thien_kho	giaiThanThienKho
hong_loan_thien_hi	hongLoanThienHi
dao_hoa	daoHoa
hoa_cai	hoaCai
vong_tuong_tinh	vongTuongTinh
phan_an	phanAn
tue_dich	tueDich
tuc_than	tucThan
tai_sat	taiSat
thien_sat	thienSat
chi_boi	chiBoi
nguyet_sat	nguyetSat
vong_than	vongThan
vong_truong_sinh	vongTruongSinh
truong_sinh	truongSinh
moc_duc	mocDuc
quan_doi	quanDoi
lam_quan	lamQuan
de_vuong	deVuong
suy	suy
benh	benh
tu	tu
mo	mo
tuyet	tuyet
thai	thai
duong	duong
vong_bac_si	vongBacSi
luc_si	lucSi
thanh_long	thanhLong
tieu_hao	tieuHao
tuong_quan	tuongQuan
tau_thu	tauThu
phi_liem	phiLiem
hi_than	hiThan
benh_phu	benhPhu
dai_hao	daiHao
song_hao	songHao
phuc_binh	phucBinh
quan_phur	quanPhur
vong_thai_tue	vongThaiTue
thai_tue	thaiTue
thieu_duong	thieuDuong
tang_mon	tangMon
bach_ho	bachHo
thieu_am	thieuAm
quan_phuf	quanPhuf
tu_phu	tuPhu
tue_pha	tuePha
long_duc_phuc_duc	longDucPhucDuc
dieu_khach	dieuKhach
truc_phu	trucPhu
am_sat	amSat
tu_hoa	tuHoa
hoa_loc	hoaLoc
hoa_quyen	hoaQuyen
hoa_khoa	hoaKhoa
hoa_ky	hoaKy
bac_si	bacSi
